pump_id,timestamp,vibration_rms_g,vibration_peak_freq_hz,temperature_c,acoustic_level_db,current_draw_a,vibration_rms_roll_mean_6h,vibration_rms_roll_std_6h,ph,turbidity_ntu,conductivity_us_cm,flow_lmin,water_aggression_index,RUL_days,right_censored,failure_mode_label,anomaly_label,data_split
PUMP_01,2026-03-01 00:00:00,0.1669,50.31,33.72,59.43,4.076,0.1669,0.0,7.222,3.42,373.2,98.7,13.16,90.0,True,Normal,0,train
PUMP_01,2026-03-01 01:00:00,0.1721,52.37,34.96,59.69,4.034,0.1695,0.0037,7.252,4.44,383.0,97.3,14.77,89.96,True,Normal,0,train
PUMP_01,2026-03-01 02:00:00,0.1816,51.56,34.35,56.42,4.091,0.1735,0.0075,7.218,4.54,383.4,100.9,14.31,89.92,True,Normal,0,train
PUMP_01,2026-03-01 03:00:00,0.159,51.59,33.77,56.6,3.949,0.1699,0.0095,7.155,3.7,388.9,101.9,12.94,89.88,True,Normal,0,train
PUMP_01,2026-03-01 04:00:00,0.1701,49.38,33.61,57.65,3.934,0.1699,0.0082,7.078,3.75,385.0,107.5,11.58,89.83,True,Normal,0,train
PUMP_01,2026-03-01 05:00:00,0.1378,49.85,34.61,58.1,4.091,0.1646,0.015,7.176,4.25,377.0,107.1,13.17,89.79,True,Normal,0,train
PUMP_01,2026-03-01 06:00:00,0.1664,49.54,34.07,57.71,4.01,0.1645,0.015,7.238,3.07,375.0,110.1,13.25,89.75,True,Normal,0,train
PUMP_01,2026-03-01 07:00:00,0.1435,47.74,33.9,57.34,3.984,0.1597,0.0166,7.182,3.26,373.2,128.4,12.41,89.71,True,Normal,0,train
PUMP_01,2026-03-01 08:00:00,0.1577,52.21,34.07,57.63,4.056,0.1557,0.0127,7.24,3.89,387.4,120.4,14.37,89.67,True,Normal,0,train
PUMP_01,2026-03-01 09:00:00,0.2025,51.12,34.2,58.58,4.053,0.163,0.0231,7.207,4.62,376.1,126.8,13.89,89.62,True,Normal,0,train
PUMP_01,2026-03-01 10:00:00,0.1596,49.48,33.97,56.4,3.9,0.1612,0.0228,7.264,3.83,387.4,139.9,14.72,89.58,True,Normal,0,train
PUMP_01,2026-03-01 11:00:00,0.1396,51.96,34.72,60.81,4.111,0.1616,0.0225,7.185,4.04,382.6,148.2,13.4,89.54,True,Normal,0,train
PUMP_01,2026-03-01 12:00:00,0.1561,49.05,34.76,58.03,3.967,0.1598,0.0224,7.223,4.45,381.6,144.9,14.26,89.5,True,Normal,0,train
PUMP_01,2026-03-01 13:00:00,0.1397,47.24,34.32,59.26,4.136,0.1592,0.023,7.225,4.84,378.5,149.0,14.43,89.46,True,Normal,0,train
PUMP_01,2026-03-01 14:00:00,0.1306,51.51,34.82,57.3,3.893,0.1547,0.0259,7.275,3.77,383.3,136.2,14.68,89.42,True,Normal,0,train
PUMP_01,2026-03-01 15:00:00,0.1745,48.08,34.01,58.69,4.025,0.15,0.0162,7.115,3.99,379.9,139.7,12.13,89.38,True,Normal,0,train
PUMP_01,2026-03-01 16:00:00,0.1573,49.71,34.41,58.12,3.985,0.1496,0.016,7.177,4.73,378.2,130.2,13.57,89.33,True,Normal,0,train
PUMP_01,2026-03-01 17:00:00,0.1455,50.31,34.6,59.03,3.842,0.1506,0.0154,7.242,3.39,383.5,135.6,13.9,89.29,True,Normal,0,train
PUMP_01,2026-03-01 18:00:00,0.1341,50.58,34.61,57.76,4.053,0.147,0.0165,7.277,4.41,379.3,120.3,14.99,89.25,True,Normal,0,train
PUMP_01,2026-03-01 19:00:00,0.1357,51.27,34.55,59.86,3.846,0.1463,0.0169,7.212,3.59,376.0,114.9,13.24,89.21,True,Normal,0,train
PUMP_01,2026-03-01 20:00:00,0.1645,50.87,34.38,56.21,3.977,0.1519,0.0162,7.185,4.04,383.0,115.6,13.42,89.17,True,Normal,0,train
PUMP_01,2026-03-01 21:00:00,0.1475,50.82,35.17,59.14,4.088,0.1474,0.0119,7.238,3.9,379.7,111.7,14.02,89.12,True,Normal,0,train
PUMP_01,2026-03-01 22:00:00,0.0988,48.81,33.68,58.14,3.958,0.1377,0.0219,7.243,3.62,382.4,101.7,14.03,89.08,True,Normal,0,train
PUMP_01,2026-03-01 23:00:00,0.1837,50.44,33.91,56.78,3.928,0.144,0.029,7.182,3.61,377.7,100.6,12.84,89.04,True,Normal,0,train
